sentence,label
Kuru halde preslenerek şekillendirilen mamullerde kuru küçülme nem oranına bağlı olarak ya hiç görülmemekte yada çok az oranda gerçekleşmektedir.,0
"Ama daha ilk aylarımızda, ta Norveç'ten yeni geldiği halde bizi bulan, Norveç'teki underground yayınların öneminden söz eden, KAOS GL'ye yazı veren de oldu.",0
"Böylece, epeyce gecikmiş de olsa, bir hümanizma hareketi kültür ve eğitim hayatındaki yerini almış oluyordu.",0
"Üstün bir adalet anlayışı vardı, köyün dengelerini mükemmel biçimde korurdu.",0
"O köpeği eğitmeye harcadığınız vakit, nakit ve çabayı, bir ilkokul öğrencisine verseydiniz mesela, çocuk şimdiye kadar doktor olmuştu!",1
Türkiye'de okusalardı böyle olmayacaklardı belki de.,1
Devamlı olarak bu tür olayları Köşk namına takip eden bir kişiydi.,0
"Tam da bunları düşünürken, spiker, ölen Amerikalı kadın askerin orduya katılma gerekçesini açıklıyor, ailesinin dilinden: ""Aslında savaşmayı hiç istemezdi.",0
"Bütün bağları bir yana iten, kendini burjuva düzeninin düşmanı sayarken, diğer yandan da (bilinçli olmadan) burjuvazinin ""pazarı için üretim"" ilkesini tanıyan ""özgür"" yazar ilk olarak romantizmle birlikte ortaya çıktı.",0
"Bu o kadar garip, acınacak, hatta gülünecek bir şekil almıştır ki, şimdi ismini hatırlamadığım bir yazarın ortaöğretimde okutulması resmen kabul edilmiş modern çağlar tarihinde 300 şu kadar sayfanın 200'ünden fazlası sırf Fransa tarihine ayrılmış, geri kalan sayfaların çoğu Avrupa milletleri tarihinden bahsederek ancak birkaç sayfası, o da Frenkler açısından Devleti Osmaniye'ye bırakılmıştır.",0
"(kamu iktisadi teşebbüslerin denetimi) Tanıtma Fonundan yapılacak harcamalar (Başbakanlık örtülü ödenek için %20'si hariç) Başbakanlık, Maliye ve Gümrük Bakanlığı ve Sayıştay Başkanlığınca, iki yıl için seçilen birer temsilci üyeden oluşan kurulca denetlenmektedir.",0
Merkezi yönetim ve alt yönetimler arasındaki fonksiyonel dağılım ve mali sorumluluklar kanunlarda açıkça belirlenmiştir.,0
"Hayat, keşke yapraklarını kıvırarak hatmettiğimiz, okunması kolay romanlara benzeseydi.",1
Tabi ki koskoca çölde iki kişi kalamazdık.,0
"inşallah iyi bir alım olur, bilgisayar ülkemizde yeni oluşan bir dal olduğu için zamanında kurumların bilgi işlem bölümlerine bilgisayara 3-5 kelam yazabilen kimyacı, fizikçi, istatistikçiyi doldurmuşlar.",0
"Araştırmanın çoklu analiz sonuçları, literatürle uyumludur ve kısa boyluluk görülme sıklığı ile yaşın artması ve düzenli D vitamini kullanmış olmak azaltıcı yönde anlamlı ilişkili; kavrukluk görülme sıklığı ile, çocuğun istenmeme durumu ve düşük ekonomik durum artırıcı yönde anlamlı ilişkili olduğu belirlenmiştir.",0
"Arıyörük, ""Eğer kalite ve standart olsaydı bankerlik ortaya çıkmaz, o paralar bankalarda değerlendirilirdi"" diye konuştu.",1
"Bir daha yazamazdı, emekleri, düşünceleri, kafasındaki her şey uçuyordu.",0
"Yap lan deneyler sonucunda farklı yaş, bileşim ve dokudaki kireçtaşı örneklerine ait; özgül ağırlık, kuru birim ağırlık, su emme, efektif porozite ve tek eksenli basma dayanımı belirlenmiştir.",0
Öncelikle Mor Bulutu yok etmekte gösterdiğiniz başarıları kutlarız.,0
"PDA grubunun ilkten açıkça küçük-burjuva radikalizminin kuyrukçusu sağ bir çizgi ile ortaya atıldığı halde, birkaç hafta gibi kısa bir süre içinde bağnaz ‘Mao'cu' kisveye bürünmesi son derece ilginçtir.",0
"Benim mutsuz olmam onları güldürmüş olamazdı ama bu cümleyi söylerken çok ciddi olduğumu fark etmemişlerdi, tıpkı mutsuz olduğumu fark etmedikleri gibi...",0
"Kişiler yanlış yapsa da kurumlar yanlış yapmamakta, kurumlar yanlış yapsa da bir başka kurumun devreye girmesiyle sistemin meşruiyeti yeniden üretilmektedir.",0
"Tabii, bu rahatlık biraz da paramın olmasından kaynaklanıyordu ama ben bunları paramla da yapamazdım...",0
"7KK'e, aynı zamanda Büyükler de denilmektedir.",0
"""Demek ki, sizlere bir Yeni Çağ dergisi sunmalıydık ve bunu yaptık.",0
"ABD Başkanı Clinton'ın, İsrail ve Filistin taraflarının birbiriyle temaslarda özgür ve uzlaşmacı atmosferi yakalamalarına imkân sağlamak amacıyla Camp David'den sık sık ayrıldığı bildiriliyor.",0
"Miniklere anlayacakları dilden yemek duasını öğretmiş olan Günay öğretmen, bugün de, sofradan önce ve sonra ellerin, ağzın yıkanması gerektiğinden söz ediyor, bunun hem sağlık açısından hem de dini yönden faydalı olacağından bahsediyordu.",0
"TURGAY: Levent, dönüş yok biliyorsun.",0
"ABD için çok önemli olmakla birlikte, AKP, politik bir parti olarak bu ihtiyacı tam olarak karşılayamazdı.",0
"İş arkadaşlarının bir art niyet ya da birdenbire ortaya çıkan bir küçümseme belirtisi olarak değerlendirebilecekleri tutumu, yalnızca basit bir savunma içgüdüsünden kaynaklanıyordu.",0
"Ama İslami kesim, duruma hemen uyum göstermişti.",0
"Zira Koç Şirketleri'nde âdem-i merkeziyet esastı ve sorumlu oldukları şirketlerin verimlilikleri, kârlılıkları ve sermaye birikimi ile liyakatleri ölçülen bu profesyonel yöneticiler kariyerleri açısından bir risk alabilirdi.",1
"DTÖ'de uluslararası ticaret açısından sübvansiyonlar adı altında ele alınışından, AB gibi ekonomik birliklerde ve ülkeler üstü oluşumlarda rekabet hukuku bakımından ortaya çıkışına, sektörlerin ihtiyaçlarının farklılaşmasından, coğrafi bölgeler açısından değerlendirmelere ve kamu bütçesi açısından etkilerine kadar birçok başlık altında görünüşü farklı olabilmektedir.",0
"""Çuka da düşünebilirdi böyle bir şeyi.""",0
- Söz konusu ettiğimiz bu savaşlar siz Paris'te iken oldu bitti.,0
"Mesela, en büyük aşklarımdan birinden ""KIZ OLSAYDIN SENİNLE EVLENİRDİM ZERRİN,"" gibi bir cümle işittim ben.",1
"O sıralarda Dersaadet'te, Mehpare Hanım'ın Serez'de ""Yunanlı zamparasıyla"" neler yaşadığını bilen iki kişi bulunuyordu; biri, bazen düşmanların dostlardan daha sadık olabileceğini göstermek istercesine, herkes bu güzel kadını unutmuşken bile onu asla unutmayan ve yalnızca kendi bildiği yollardan onun hakkında bilgi edinen Hasan Efendi, diğeri ise Hasan Efendi'nin bildiği her şeyi bilen Şeyh Yusuf Efendi'ydi.",0
"Bu bilgilerden hareket eden Dwek ve grubu, Monsanto Eczacılık Şirketiyle işbirliğine girişti ve halen bu hastaların kliniksel tedavileri için araştırmalarını sürdürüyor.",0
2 ay sonra annemleri yolcu ettim herkesin bi evi vardı kimse düzenini benim için bozamazdı.,0
"""Bir gün önce bugünü hayal edemezdim""",1
Kapalıtohumlu bitkilerde ise eşeysel üreme organları yani çiçekler bir önceki gruba göre çok gelişmişlerdir.,0
"Bir internet sitesi de hazırlayan örgüt burada, erkeklerin evliliklerini değiştirmeleri için altın kurallar sunuyor.",0
"Ama bu konuda büyük düşünceleri var yine de: ""Türkiye özgür ve bağımsız bir ülke.",0
"Çünkü Fransızların Cezayir'de yaptıkları yatırımlar birden duramazdı; öte yandan savaştan sonra Fransa'daki Cezayirli sayısı azalmamış, artmış ve 70'li yıllara gelindiğinde, bu sayı 700 bini bulmuştu.",0
uyum sürecini atlamasının epey zaman alacağını düşünüyorum.,0
"Gülme tablosunda, hi hi hi şeklinde gülenler melankolik olanlar, he he he pratik, becerikli, sert kimseler, ho ho ho diye gülenler çoğunlukla ümit dolu, ha ha ha sesiyle geriye doğru kaykılanlar ise kötülük peşinde, kızgın suratsızlar şeklinde tanımlanıyor.",0
"Bireylerin kaderi, kişisel ve kolektif bilinçaltının karanlığında belirlenmiştir.",0
"İncelemeye alınan gazetelerde az bir oranda da olsa, hukuk, din, eğitim gibi toplumsal kurumlarının ve bu kurumlara yönelik reformların kadınlar açısından ele alındığı yazılara yer verildiği gözlenmiştir.",0
"Halkın tercihini kazanarak belediye yönetimine gelen aktörlerin iktidarlarını sürdürmelerinde, “yerel hizmetleri” başarılı bir şekilde sunmaları belirleyici faktör olacaktır.",0
"Bu gelen uyum yasasında 'bu konuyu düzeltelim, Anayasa'ya uygun bir uyum yasası çıkartalım' dedik.",0
"""Klinik araştırma verileri, pankreas kanseri konusunda yılda en az 10 ameliyat yapılan hastanelerde elde edilen sonuçların daha iyi olduğunu gösteriyor.",0
"Sonra telaşla balkona çıktık, Ambulansın içinden koşar adım beyaz gömlekli insanlar inip bizim apartmana girdi.",0
"Beş yıl kadar önce New York'ta bir otelin lobisine üç çıplak figür içeren ""Aşıklar Kanepesi"" adlı heykel yerleştirildiğinde kimileri ""Pek sevimli"", kimileri ""Porno"" deyip geçmişti.",0
"Zoom ise, dijital fotoğraf makinelerinin üzerinde ""x şeklinde toplam zoom miktarı"" olarak yazar.",0
"Orada, yanıbaşımızda kıyasıya süren çatışmalarda ölen peşmergelerin haberleriyle her sarsılışta, aynı anda, iki aşiret kavgasında kafaları, gözleri yarılan, kan revan içinde kalan erkekler, yaralarına sürülecek otlardan yapılma ilaçları sandığının dibinde saklayan anneme gelir, annem yaralarına kendi yaptığı merhemlerden sürer, tedavi ederdi.",0
Belki burada Tansu Çiller bir çıkış yaparak üçüncü yolu gösterebilir ve demokrasiye giden pencereyi açabilirdi.,0
"Bu eğri söz konusu işçinin, ücret dışında çalışmak istediği süreyi etkileyen faktörler değişmiyorken, çeşitli ücret düzeylerinde ne kadar çalışmak istediğini göstermektedir.",0
"Onu geri isteyemez ya da burada, artık onu bekleyemezdim.",0
"42/3'de gayrimüslim vakıflarıyla ilgili olarak getirilmiş haklar Ocak 2003'te çıkarılan AB Uyum Paketine kadar uygulanmamıştır; bu vakıfların dışındaki vakıfların lehine ve gayrimüslim vakıfları (yasada: ""Cemaat Vakıfları"") aleyhine ayrımcılık yapılmıştır (bunlar Üçüncü ve Dördüncü Bölüm'ün sonunda ayrıntılı olarak incelenecektir).",0
"Konuyu adamın ağzından anlatmaya çalıştığın için, bir sürü önemli noktayı atlamak zorunda kaldın.",0
"""Keşke ders çalış diye bağırmak yerine yapacak daha iyi birşeyler bulsaydım""",1
"Hele, promosyan furyasıyla, bir gazeteden beklenenlerin çok dışına çıkan kuponları alındıktan sonra atılan bu kalın gazeteleri gördükçe, kâğıt yapılan ağaçlara, bunların kesildiği ormanlara acıyıp duruyorum.",0
"Ne güzel söyler Paul Eluard, militant Gabriel Peri için yazdığı şiirde: ""İnsanı yaşatan sözler vardır/Ve bunlar masum sözcükler/Sıcak sözler, güvenç sözleri/Aşk, adalet ve hürriyet sözleri.""",0
Kendim ne yapacağımı bilmezken ona ne faydam olabilirdi.,0
Her katta dört daire olduğunu varsaysak en az kırk daire var demekti.,0
Bazen de bütün gayretimize rağmen birbirimizi ikna edemezdik.,0
"Hiç düşünemezdim; sevdiğim, yıllarca içinde yaşadığım sinema dünyasından, bambaşka bir dünyaya geçebileceğimi.",0
"Beni, sözüm ona, bostancıları ve yeniçerileri saraya sokma aykırılığına başvurmakla eleştirenler, balemin sergilenişine, işleyişine ve rol dağılımına tanıklık etmiş olsalardı, onları yüz fersah öteden rahatsız eden karakterlerin, sarayda kadınların bulunduğu holüme kesinlikle girmediklerini, yalnızca bahçede göründüklerini ve, onları yalnızca Büyük Efendi'nin girişini daha etkili ve görkemli kılmak için bu sabneye soktuğumu görmüş olacaklardı.",1
"O halde dil, insanın, her türlü tasarımını söz konusu kurallar bütünü yardımıyla anlatabilme yeteneğidir.",0
"Hormon salgılayan sistemler olgunlaştığında, üreme çağına özgü düzenli kanama paterni ortaya çıkar.",0
"Söz konusu zaman diliminde, ele aldığımız başlıca gelişmeler ve olgular, ana çizgileriyle, şunlar Osmanlı Devleti'nin parçalanıp çökmesi, bu çöküşü önlemek için batılılaşmanın hızlandırılması, aynı amaçla ve değişik ulus ve halklardan oluşan devleti bir arada tutabileceği varsayılarak Osmanlılık ideolojisine sıkı sıkıya bağlanılması, ardı ardına girişilen savaşlar ve bunlardan yenik çıkılması...",0
Bu aynı zamanda ruhun da kabulü ve inanışıdır.,0
Psikiyatristler tedaviye uyum ile ilgili problemleri ciddiye almalıdırlar.,0
Hep Hubert yazardı; o hiç yazmazdı.,0
"Kısacası, bugünkü Türkiye'nin yaklaşık altıda birine sıkıştırılmış, bağımsız bir devlete özgü pek çok yetkisi, ya kısıtlanmış, ya kaldırılmış, topraklarının altı da üstü de yağmaya açılmış, kolu kanadı budanmış, milli bir ordudan yoksun, sürekli denetim ve gözetim altında tutulacak, zavallı bir devletçik.",0
"İnsan içine çıkmaktan, kalabalık yerlerde görünmekten hoşlanmazdı hiç.",0
"Atatürk'ün sevdiği ve güvendiği insanlardan otuzbeş yıllık arkadaşı İzmit Milletvekili Süreyya Yiğit, bir anısında şunları anlatmıştı: Atatürk, büyük işler hazırlarken asla alkole ilgi göstermezdi.",0
"Savunulamayan inançların, kaybedilen toprakların, haksızlıkların mutlaka bir karşılığı olmalıydı.",1
"Kamu yönetim sistemlerinin ülkelerin toplumsal, ekonomik ve siyasal koşulları ile uyum içinde olması gerekliliği dikkate alındığında, bu konudaki toplumsal duyarlılığı doğal karşılamak gerekmektedir.",0
Benim düzgün cümlelerim ve ona içimi açışım izlediği bir filmde olmalıydı.,1
Bağnaz olmadıkları için de özgür düşünürler.,0
"Sarı-Kırmızılılar diğer bir pankartta ise Fenerbahçe yöneticisi Mahmut Uslu'ya göndermede bulunarak ""Mahmut Usluol"" yazısını yazmışlardı.",0
"Orada öyle, daha ne kadar durabilirdim ki...",0
"Sanırım ben çok değiştim, artık ayna karşısında saatlerce durup şu kaşlarım biraz daha ince olsaydı, göğüslerim biraz daha büyük olsaydı, belim kalın galiba diye kendi kendime dertler yaratmıyorum.",1
Cümleyi çözmüş olsalardı beş kutu çileği şimdiye çoktan yemişlerdi.,1
"Başta Fransa olmak üzere, pek çok ülkede kadınlar oy kullanamazdı.",0
"Diğer insanlarla uyum içinde olmam gerektiği olgusu, bu noktada sahneye genellik biçimini getirir.",0
"Uygulanan mineral azotun artmasının nitrat içeriğinin artmasına, amonyum nitratın amonyum sülfat'a göre daha fazla nitrat birikimine neden olduğu, çiftlik gübresinin sürekli uygulanmasıyla nitrat birikiminin daha fazla sınırlandığı belirlenmiştir.",0
"Bu bağlamda, turist sadece geçmişin kültürel ürünlerini değil, aynı zamanda ziyaret edilen bölgenin veya yörenin çağdaş kültürünü ve yaşam tarzını da tüketmektedir.",0
"Öteki vitrinde ise Lulu, Talihin Gücü, Orfeo, Üç Kuruşluk Opera ve The Rake's Progress'le ilgili belgeler.",0
"Kendine geldiğinde, başının üstündeki bir şeyden az da olsa serinlik geliyordu.",0
"Kafesli köprüden geçerken, yalnızca Haşim ve Yahya Kemal için değil, gelgelelim asıl Hamid için bir kitap yazmalıydım diye düşündü.",0
Geçmişten kendisini anımsayanlar çıkabilirdi.,0
"Tutuklular, koğuşlarda, ayak bileklerinin hizasına gelen çişli ve boklu sularda yürümek zorunda kalırdı.",0
"Aynı dönemde Türkiye'nin dış ticareti, miktar olarak yaklaşık yarı yarıya azalmakla birlikte, ihracatı ithalatını aştı, önemlice bir dış ticaret fazlalığı oluştu.",0
"Lokantanın önünden uzaklaşırken: ""Tam aradığım dünya bu olmalı.",0
"Herkes bir şeyleri inatla ve ısrarla halkın iyiliği için yapıyor, ama halkın siyasal, ekonomik, kültürel gücü her gün azalıyor; kim oldukları bilinemeyen faili ve asıl fiili meçhul birileri mafya üyesi gibi güçleniyor.",0
"Libertarianizm, bireylerin davranış ve eylemlerine ve sahip oldukları mülkiyete hiç bir şekilde karışılmadığı özgür bir toplum yapısını savunur.",0
Buranın adı 999 değil de Çiçek gezegeni olmalıydı...,1
50 yıl daha devam etseler başarılı olamayacaklarını biliyorlar.,1
"Çok değil, sadece üç yıl önce Cate Blanchett'ın Hollywood'daki yükşeliş hikâyesini tahmin etmek için bir kristal küreye ihtiyacınız olabilirdi.",1
"Evinin içinden haberdar olmayan biri, ülkesini nasıl kollayabilirdi?",0
"TCDD'nin vinci, vagonu yaklaşık 4 saat süren çalışma sonucu sudan çıkarabildi.",0
"Etnografik ve antropolojik çalışmalar bu sebeple geleneksel araştırmalara göre daha uzun soluklu ve maliyetli olsa da, müşterileri anlamayı en fazla mümkün kılan yöntemlerdir.",0
"İşlevsel gelişimi ise, doğumla başlamakta ve ömür boyu sürmektedir.",0
"Atalarımızın gönüllerinden süzülüp gelen, onlardan tevarüs ettiğimiz değerlerin en kıymetlilerinden biri sayılan beyan; yalnız manaların vuzuhu, kelimelerin sesi ve belli maksatların ifadesi değildir; o, aynı zamanda düşüncelerimizin dili, hislerimizin musikisi, kalblerimizin heyecanı, Allah'a muhatap olmanın tercümanı, ümitlerimizin de geleceğe uçurduğu altın kanatlı üveykidir.",0
keşke yalnız bunun için sevseydim seni.,1
"O küçük, o siyah kuşun ölümü ben olmazdım o zaman...",1
"Aralarında çok kavga olmuştu ama, yine de hemen barışmışlar, olup biteni kısa zamanda unutmuşlardı.",0
"Doğru çağrıları ve doğru çıkışları gördü mü, hızla koşar.",0
İnsanlara bulundukları konumlarına göre muamele ederdi.,0
İhracat sübvansiyonlarının kaldırılmasının Türkiye'ye zararından çok faydası olacaktır.,0
"Basın yayın meslek ilkeleri de, gazetecilik yapılmaya başlandığından bu yana çıkan sorunların, elde edilen mesleki birikimin bir sonucu.",0
Bazen bir günün doğuşu bile insanı mutlu edebilirdi çünkü.,0
"Günümüzde, EKU'nun kanatlı hayvanların karmalarında kullanım düzeyi yaklaşık % 3 civarında olup, bu düzey % 5'i aşmamaktadır.",0
"Talep profili bilinmeyen bir toplumun bilgi ya da bir başka tür toplum olabilmesi yönünde harcanacak çabalar verimsiz, hatta sonuçsuz olmak zorundadır.",0
1908 grev dalgası aynı zamanda önemli dersler içermektedir.,0
"Bu deyim Türkçe'de ""Senin yerinde olsaydım..."" anlamına gelmektedir.",1
"Her ne kadar modernleşme süreci 200 yılı aşkın bir süreyi aşmış olsa da, bu hareket Batı tarzında bir arka plana ve yapıya sahip olmamış ve onu doğuran toplumsal dinamiklerin devletçi vasıftan dolayı oluşmaması nedeniyle güdük kalmıştır.",0
lise 1 deki edebiyat hocasına gıcık olurdum.,0
"Esnek olmak, belirsizlikle baş etmek ve zamana direnmek değil zamanın akışına uyum sağlama becerilerine sahipler.",0
OĞUL: Paramız yetseydi seninki gibi viski kokardı.,1
Fakat bu kişiler Erhan'ın hayatına bir dönem giren kısa süre sonra da hayatından çıkan kişiler.,0
"Uzlaşmayı, güç karşısında eğilmeyi sevmezdi.",0
"Unutulmasın ki, her zaman için karşılaşılabilecek üçüncü bir erk söz konusu olabilir.",0
Bobin formundaki iplikler ise Murata Firmasının Mach Coner bobin makinasında Perlasız ve Perla sistemi kullanılarak üretilmiştir.,0
Bu nedenle göllerde bulunan suyun yaklaşık yarısı tuzlu sudur.,0
Deniz tutan birisinin askerliğini denizci olarak yapması ne kadar zor olmalıydı.,0
"Kapılarda kilit vardı, ama kimse kilitlemek için anahtarını kullanmaya gerek duymazdı.",0
"Ayrıca, Mujik Necmi de çok iyi bilirdi ki, gerek meyhanelerde Marx'ın öngörülerini açıklarken, gerek sol dergilerde devrim şiirleri yayımlarken, bir an bile içeri alınmaktan korkmamıştı; şiirleri savcının gözüne batmadı diye ozanın ""ajan provokatör""e dönüştürülmesi haksızlıktı; ama Mujik Necmi konuya başka türlü baktığını bir kez daha kesinlikle belli etti:",0
"Babasının ölümü 16 yaşındaki Ayten'i çok yaralar, henüz bir lise öğrencisi olmasına rağmen, babasının hatırasını yaşatabilmek için çiftliğin başına geçmeyi aklına koyar.",0
"Bu kaideler, bütün sabun köpükleri için geçerlidir.",0
"Ama bunu Mehpare Hanıma söyleyememiş, ""Asıl aşkı sen bilmiyorsun"" diyememişti, kimse Mehpare Hanıma böyle bir şey söyleyemezdi, hayatı boyunca erkeklerden kendisini kızdıracak hiçbir söz duymayacaktı, çünkü bütün o karmaşık duyguların arasında aynı zamanda vazgeçilmez bir ümit de uyandırıyor; bir türlü ele geçmez, gözle görülmez, yalnızca sezilebilir kaygan oynaklığıyla erkekleri ""belki bir gün"" vaatkârlığının peşine takıyordu.",0
Epeyce uzun sürmüş bir sefahat âleminden artakalan görüntüler olmalıydı bunlar.,0
"İşte bu görüntünün güzelliği karşısında huzur içinde ölebilirdim, insanın sevdiği kişinin kendisini bekleyişini izlemesi.",0
"Örneğin, söz konusu genel yönelimin taşınacağı yer olarak Türkiye'nin böyle bir geleneğe ve deneyime hiç sahip olmaması başlı başına bir sorundur.",0
"Keşke, onun da babamınki gibi çeşit çeşit elbiseleri olsaydı.",1
* Katodik koruma sistemlerinde ilk tesis maliyetinin yaklaşık yarısı anotlara harcanır.,0
Akşamları da yaklaşık 3 saatini televizyona ayırıyor.,0
"Elimizde sayımlara dayalı sonuçlar olmamakla birlikte, ünlü Türk yazarı Hüseyin Rahmi Gürpınar'ın söz varlığındaki zenginliğin ilgi çekici olduğunu belirtmeliyiz.",0
ABD'nin askeri varlığı ise 162 binle en yüksek seviyeye ulaştı.,0
"Fotoğrafın icat edildiği Batı dünyasında resim sanatçılarının fotoğraftan yararlanmak gibi bir kaygıları olamazdı, çünkü reel görünümlere tarihsel bir aşinalık, Batı dünyasının ressamlarını fotoğraf görüntüsüyle hesaplaşmak gibi gereksinmelerden alıkoyuyordu.",0
"""Oraya şikâyet götürmezdi"" Evren'in lider görüşmelerine bakış açısı değişmişti:",0
"17 Ağustos ve 12 Kasım tarihlerinde meydana gelen depremler nedeniyle, işyerlerindeki bütün kayıtların yok olması, işyerlerinin deprem nedeniyle kapanması gibi nedenlerle, belgeleri düzenleyecek bir muhatap bulamayan ve bu durumu resmi olarak belgeleyen hak sahiplerine yapılacak nema ödemeleri için de kolaylıklar getirildi.",0
"Özellikle önceden hazırlık ve zararın azaltılması aşamalarında, özel sektör ve halkın, kâğıt üzerinde kalan yasa ve yönetmeliklere uyma zorunluluklarına da, yine yasalarca herhangi bir yaptırım getirilmemiş durumda.",0
